flt_nm,mjd,fluxcal,fluxcalerr,processing
482.7,56949.027,46.293964,3.9487245,raw
482.7,56956.008,95.36304,4.1906033,raw
482.7,56960.171,118.7171,5.62617,raw
482.7,56973.021,57.96075,3.8213692,raw
482.7,56980.037,73.079216,3.317706,raw
482.7,56987.041,40.785645,3.6124222,raw
482.7,56991.108,56.982468,13.497625,raw
482.7,56992.046,31.991257,8.007547,raw
482.7,57002.05,35.743954,3.434712,raw
482.7,57011.056,17.251396,2.7952793,raw
482.7,57017.074,22.419012,4.453616,raw
754.6,56949.032,78.10869,5.8454614,raw
754.6,56956.013,212.43834,6.1515236,raw
754.6,56960.175,249.53035,6.917715,raw
754.6,56973.025,228.06807,6.3358836,raw
754.6,56980.042,179.13344,5.4873133,raw
754.6,56987.046,111.08682,6.237213,raw
754.6,56990.047,146.36845,27.430449,raw
754.6,56991.113,216.29619,18.334131,raw
754.6,56992.051,171.3037,8.8550415,raw
754.6,57002.055,153.82156,5.8176847,raw
754.6,57011.06,131.6294,5.259101,raw
754.6,57017.078,130.83298,8.217745,raw
754.6,57025.061,98.80268,10.9971895,raw
622.3,56949.03,87.67458,11.9461355,raw
622.3,56956.01,167.79276,4.8193274,raw
622.3,56960.173,181.96518,5.9221683,raw
622.3,56973.023,162.51471,5.0811505,raw
622.3,56980.04,205.09462,4.204969,raw
622.3,56987.044,90.36789,4.838453,raw
622.3,56991.111,124.19179,14.707331,raw
622.3,56992.049,113.90862,8.284645,raw
622.3,57002.052,120.75849,4.564046,raw
622.3,57011.058,71.285324,4.1051836,raw
622.3,57017.076,85.93065,6.165562,raw
622.3,57025.059,64.09155,11.988803,raw
869.1,56949.034,42.51983,10.906168,raw
869.1,56956.015,190.23538,7.793368,raw
869.1,56960.178,217.63795,8.953246,raw
869.1,56973.028,217.07878,7.7407374,raw
869.1,56980.044,174.32404,6.980011,raw
869.1,56987.049,108.2967,7.598053,raw
869.1,56991.115,196.5366,20.228249,raw
869.1,56992.053,133.40263,10.076904,raw
869.1,57002.057,173.19266,7.568644,raw
869.1,57011.063,127.91262,6.4785924,raw
869.1,57017.081,126.435524,10.022423,raw
482.7,56949.027,46.5821969986184,3.906017880883138,gp
482.7,56949.714343434345,50.72493655535518,4.452301344661114,gp
482.7,56950.40168686869,55.15077063893188,5.714630108339943,gp
482.7,56951.08903030303,59.81123621367554,6.838413722826209,gp
482.7,56951.776373737375,64.65881260684276,7.558236974568499,gp
482.7,56952.46371717172,69.64629255585272,7.803130487648493,gp
482.7,56953.15106060606,74.72615137400754,7.573065395220745,gp
482.7,56953.838404040405,79.84990890562631,6.913502531701028,gp
482.7,56954.52574747475,84.96747887103423,5.926266180128629,gp
482.7,56955.21309090909,90.02650009909823,4.822489951561016,gp
482.7,56955.900434343435,94.97164399535536,4.043109311526996,gp
482.7,56956.58777777778,99.73499873993885,4.11082944144201,gp
482.7,56957.27512121212,104.1868052544299,4.630951613968802,gp
482.7,56957.962464646465,108.16856483329389,5.039419809569599,gp
482.7,56958.64980808081,111.51389320570365,5.148849742115929,gp
482.7,56959.33715151515,114.04671654369461,5.063850234805731,gp
482.7,56960.024494949495,115.57932636177102,5.175509517415181,gp
482.7,56960.71183838384,115.94250618882003,5.98323829513219,gp
482.7,56961.39918181818,115.1997772603618,7.368057823110271,gp
482.7,56962.086525252525,113.51521077439429,8.96415896211515,gp
482.7,56962.77386868687,111.04041981448734,10.541916305629272,gp
482.7,56963.46121212121,107.91556184146151,11.972243111591196,gp
482.7,56964.148555555556,104.2708818163895,13.179045030517246,gp
482.7,56964.8358989899,100.22816902209145,14.114730054761782,gp
482.7,56965.52324242424,95.90213930525906,14.748619640337429,gp
482.7,56966.210585858586,91.40175391295303,15.061247143972432,gp
482.7,56966.89792929293,86.8314856232609,15.041456068215021,gp
482.7,56967.58527272727,82.29254247747117,14.685009353268873,gp
482.7,56968.272616161616,77.88405909623644,13.994208638672012,gp
482.7,56968.95995959596,73.70426531459195,12.978455893702577,gp
482.7,56969.6473030303,69.85164168632325,11.656132436230894,gp
482.7,56970.334646464646,66.42607129812724,10.059091918130513,gp
482.7,56971.02198989899,63.52999728531182,8.243885166914096,gp
482.7,56971.70933333333,61.26959546469148,6.324401093543423,gp
482.7,56972.396676767676,59.75597158606567,4.582580970969355,gp
482.7,56973.08402020202,59.10634940513147,3.7570221144808142,gp
482.7,56973.77136363636,59.37216300718768,4.434246217943569,gp
482.7,56974.458707070706,60.38979845540726,5.657697286595036,gp
482.7,56975.14605050505,61.95963914058685,6.721821443023659,gp
482.7,56975.83339393939,63.88620711064772,7.389266506946898,gp
482.7,56976.520737373736,65.97606294935808,7.582447997527735,gp
482.7,56977.20808080808,68.03571723058725,7.286522949847914,gp
482.7,56977.89542424242,69.86953692784267,6.528852568291686,gp
482.7,56978.582767676766,71.27763010586708,5.3930651355914,gp
482.7,56979.27011111111,72.05369205321908,4.0974901153710555,gp
482.7,56979.95745454545,71.98279572570246,3.268501292394614,gp
482.7,56980.644797979796,70.89100417653187,3.797048183188101,gp
482.7,56981.33214141414,68.88636427313764,5.02343554655826,gp
482.7,56982.01948484848,66.16915870528692,6.170879204462763,gp
482.7,56982.706828282826,62.930382965933134,6.965791094726794,gp
482.7,56983.39417171718,59.35371377964309,7.313446359351125,gp
482.7,56984.08151515152,55.617531247098526,7.188172325351241,gp
482.7,56984.76885858586,51.89689461235501,6.609349519955256,gp
482.7,56985.45620202021,48.36548750589145,5.65022481244682,gp
482.7,56986.14354545455,45.197548283404814,4.4915008232707985,gp
482.7,56986.83088888889,42.569800964876606,3.589083705816924,gp
482.7,56987.51823232324,40.64317886439864,3.699911385395264,gp
482.7,56988.20557575758,39.37167250528408,4.52696054557129,gp
482.7,56988.89291919192,38.58738035163475,5.332246761982674,gp
482.7,56989.58026262627,38.12471186644635,5.839316808647861,gp
482.7,56990.26760606061,37.820392524659844,6.032944973790965,gp
482.7,56990.95494949495,37.511758761171315,6.0666010631988705,gp
482.7,56991.6422929293,37.070668299408126,6.237457910637551,gp
482.7,56992.32963636364,36.646264184392514,6.829984278440988,gp
482.7,56993.01697979798,36.38753901798165,7.846334191279041,gp
482.7,56993.70432323233,36.275913091938754,9.016656058620036,gp
482.7,56994.39166666667,36.28260948165134,10.127214302902857,gp
482.7,56995.07901010101,36.37909225342953,11.042887680435035,gp
482.7,56995.76635353536,36.53676604480129,11.680393699467821,gp
482.7,56996.4536969697,36.72667253476074,11.98840654419071,gp
482.7,56997.14104040404,36.9191814018187,11.936565911954943,gp
482.7,56997.82838383839,37.08367331974048,11.510029000103358,gp
482.7,56998.51572727273,37.188212475651966,10.707550081578445,gp
482.7,56999.20307070707,37.19920601240549,9.542818728905681,gp
482.7,56999.89041414142,37.08104769585947,8.051426693203332,gp
482.7,57000.57775757576,36.795742987681514,6.314134493198705,gp
482.7,57001.2651010101,36.302512564349676,4.544848914062269,gp
482.7,57001.95244444445,35.55737116228549,3.4256770611828076,gp
482.7,57002.63978787879,34.524612396772255,4.034891751819214,gp
482.7,57003.32713131313,33.23800382657549,5.590403718361795,gp
482.7,57004.01447474748,31.75560656814151,7.160566246764193,gp
482.7,57004.70181818182,30.132555939757758,8.446573669422055,gp
482.7,57005.38916161616,28.421628592801724,9.34559350225655,gp
482.7,57006.07650505051,26.67384270602345,9.815306800659773,gp
482.7,57006.76384848485,24.939042110669227,9.840083445940397,gp
482.7,57007.451191919194,23.266469079709093,9.421450226967067,gp
482.7,57008.13853535354,21.705330428846082,8.576623680161934,gp
482.7,57008.82587878788,20.305361522072758,7.342879061984181,gp
482.7,57009.513222222224,19.11739275463664,5.794170960568521,gp
482.7,57010.20056565657,18.193923096617315,4.105923604436226,gp
482.7,57010.88790909091,17.589705325300834,2.8507233392466467,gp
482.7,57011.575252525254,17.352774862331678,3.2183896886442653,gp
482.7,57012.2625959596,17.452665403224273,4.507665073723607,gp
482.7,57012.94993939394,17.8204523507915,5.667876820970634,gp
482.7,57013.637282828284,18.389222076672226,6.397510236939057,gp
482.7,57014.32462626263,19.09368237886498,6.6111757639432405,gp
482.7,57015.01196969697,19.86945978420772,6.305803829472485,gp
482.7,57015.699313131314,20.652402762017775,5.5651719606133225,gp
482.7,57016.38665656566,21.377885299076343,4.670807953322453,gp
482.7,57017.074,21.98010528427853,4.38178742519553,gp
754.6,56949.032,78.82896406019935,5.815778307099843,gp
754.6,56949.79996969697,92.57280340849923,7.848448374993476,gp
754.6,56950.567939393935,107.34365314770152,11.208403687937432,gp
754.6,56951.33590909091,122.79472987437585,13.668325422852352,gp
