flt,mjd,fluxcal,fluxcalerr,processing
g,57012.082,20.561712,3.2049336,raw
g,57018.071,65.97806,8.225948,raw
g,57019.07,90.968315,8.062426,raw
g,57026.166,213.401,16.544487,raw
g,57033.161,217.97394,8.552509,raw
g,57040.175,58.23913,3.5423415,raw
g,57047.086,26.595676,3.7747736,raw
g,57066.03,33.636524,7.182825,raw
i,57012.086,25.680935,5.499741,raw
i,57018.075,109.06816,10.194351,raw
i,57019.075,113.91121,7.486733,raw
i,57026.171,253.30348,10.980666,raw
i,57033.166,329.9284,8.368901,raw
i,57040.179,269.7543,6.444548,raw
i,57047.091,186.37436,6.331859,raw
i,57054.038,132.32146,8.142831,raw
i,57061.147,124.23625,12.217506,raw
i,57066.034,117.927315,10.140133,raw
r,57012.084,22.695452,4.332555,raw
r,57018.073,118.11758,7.709964,raw
r,57019.072,128.09727,6.9775186,raw
r,57026.169,217.42566,12.296671,raw
r,57033.164,318.25403,7.283447,raw
r,57040.177,211.20522,5.1919928,raw
r,57047.089,119.915016,4.815943,raw
r,57054.036,118.13055,9.178113,raw
r,57061.145,93.57944,10.613474,raw
r,57066.032,74.132965,8.395905,raw
z,57018.078,77.40219,11.524539,raw
z,57019.077,98.42817,8.975187,raw
z,57026.173,221.06845,10.524638,raw
z,57033.169,310.4369,10.895433,raw
z,57040.182,271.62128,8.07307,raw
z,57047.093,217.27678,8.210025,raw
z,57054.041,148.32425,8.23382,raw
z,57061.149,115.18563,11.800234,raw
z,57066.037,128.91512,13.455806,raw
g,57012.082,20.519192058047338,3.200225311331524,gp
g,57012.62692929293,22.299978562218598,6.482034147858893,gp
g,57013.17185858586,24.310721568181066,10.748534133882757,gp
g,57013.71678787879,26.6442810011942,14.102436656639936,gp
g,57014.26171717172,29.396358390708997,16.367820140027334,gp
g,57014.80664646465,32.666490439336485,17.523958768554827,gp
g,57015.35157575758,36.559072329211176,17.5995665380419,gp
g,57015.89650505051,41.184419075438996,16.661014246991734,gp
g,57016.44143434343,46.65987351059573,14.820495819478214,gp
g,57016.986363636366,53.110969820522314,12.264746242134164,gp
g,57017.53129292929,60.67266194996455,9.339507963585554,gp
g,57018.076222222226,69.49062652760131,6.8141435981302125,gp
g,57018.62115151515,79.55702635584305,5.953028400158781,gp
g,57019.166080808085,90.23240255319456,7.187966951737115,gp
